filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,label
Adhunik.00000.wav,661500,0.23150572,0.09579121,0.39393437,0.017764166,2101.003849981288,864548.7964800366,2560.905111887676,202060.89797769627,4453.481403740567,4487227.557186426,0.0771144241002322,0.004809413113212098,-0.0002864538,0.12879969,-0.0008354958,0.01889059,99.38401442307692,-60.108086,3292.5425,99.66105,1363.6566,24.69412,473.0682,14.798913,387.4446,10.077128,164.5128,-2.6041944,193.302,-0.32123408,130.34532,0.13213715,138.67848,-15.427241,108.62752,-2.2102413,107.28733,-11.537555,113.14274,-8.396573,182.66093,-0.97406685,105.166916,1.0426044,205.67313,-1.5436999,209.00766,4.3289404,154.1403,-1.933471,161.8683,-2.7912385,182.83939,-4.648034,193.60066,-3.5616689,159.26753,Adhunik
Adhunik.00001.wav,661500,0.32036218,0.09509454,0.1727558,0.006113455,1799.290405143713,155895.64752064922,1636.7031381534487,29906.504673736337,3508.820449309452,254733.89451699922,0.1019740621371904,0.002117363126744642,3.6110291e-06,0.022208245,-2.7780312e-05,0.005633181,184.5703125,-110.286545,2481.9595,130.39235,611.9418,-53.810394,431.5749,49.97827,564.0321,-16.10781,321.10205,-5.876922,283.83224,15.138312,290.13834,-11.377447,146.3943,3.2177155,126.07455,-4.170867,95.05863,-1.1664889,122.89428,-3.3013766,136.33304,-2.2094567,94.9963,-3.6870525,92.895424,-8.817979,82.84831,-1.943053,47.03523,-9.554594,64.52144,-2.5781364,49.940773,-3.318712,62.334812,-3.502814,60.799522,Adhunik
Adhunik.00002.wav,661500,0.3160435,0.097375825,0.19973613,0.005377238,1629.9380437847863,494329.9064856463,2540.748656442362,338956.8217847831,3933.676213598104,6281045.684078012,0.04040413965750774,0.0005721163349317795,0.00032178214,0.038518257,-0.00024460728,0.002121245,89.10290948275862,-169.11058,3932.973,120.066284,744.3633,42.85008,306.0894,10.565207,175.8092,25.391249,309.34695,2.864734,226.1224,10.33757,162.05196,2.7453353,109.10941,-16.652222,183.32957,14.630373,169.44432,-6.4803677,126.62627,4.1880507,79.85854,-3.0954545,64.701706,0.22448868,60.404755,3.594852,76.4685,-1.3995445,68.13131,-1.4322468,62.607124,0.41353652,67.98754,-5.0363617,63.186314,-3.892656,70.198006,Adhunik
Adhunik.00003.wav,661500,0.29400077,0.09299353,0.15972254,0.0067240726,2241.793762050624,253261.59641747293,1881.3141455897508,149306.24774546648,4051.9921648244003,919603.5482549071,0.14099007715750775,0.001754197864531374,-1.5445512e-06,0.017710146,-2.1380103e-05,0.0073895785,161.4990234375,-118.43087,3927.8367,88.88933,1208.557,-49.127678,650.8079,34.55482,473.83252,-3.9681067,207.63823,13.343962,191.16273,2.3971372,119.49676,-7.020517,115.645836,1.4465858,141.50055,-7.739266,83.870094,-11.153694,101.383125,-0.47644714,85.20573,-2.0605571,162.98111,0.6829785,174.12643,-2.2198176,118.37831,-8.520446,192.62817,-5.0855618,222.3146,0.22501999,168.0134,1.1463364,165.71037,-2.4660766,162.4578,Adhunik
Adhunik.00004.wav,661500,0.3616576,0.08946118,0.26655084,0.013125977,3618.378938961356,157609.5321515423,2234.3045406778033,46749.30740286373,5856.556252872243,539961.5855964738,0.2644148788215944,0.00218474318611896,-2.1534977e-05,0.042438313,-2.4789097e-05,0.018807579,172.265625,-18.72344,1480.4916,8.95359,527.2701,-39.6915,358.8419,44.83173,184.35083,-3.5441253,91.667854,9.751201,163.45142,0.6398903,133.84952,-0.24619834,88.27832,-10.152608,74.391396,-4.5631533,88.725,-9.851443,79.37289,-2.9584684,68.87262,-5.054645,73.76001,1.6910981,112.14943,2.0124207,138.30168,-2.0076427,105.83346,-5.992912,132.19005,-5.4607825,90.718475,-6.8654747,101.28223,-2.721915,107.56676,Adhunik
Adhunik.00005.wav,661500,0.28960437,0.090488665,0.20283408,0.0029481624,2429.4849900491986,175275.01183814617,2040.999134096368,27683.302945931457,4837.662413983891,317997.16387046105,0.13610802051083593,0.0020629180011413426,9.3417157e-07,0.027322229,-2.5340736e-05,0.0066919606,95.703125,-49.7374,1003.3427,90.98969,498.71198,-43.385456,221.15596,43.604225,263.3285,-32.00032,206.29134,25.140503,79.40836,-24.194616,141.49004,4.6222386,76.77412,-13.43724,63.72462,-2.5601704,86.60935,-9.876433,79.84028,0.7168897,62.02502,0.288778,58.307186,-2.4835005,72.17002,-4.901325,50.0802,-4.6668634,55.700714,-7.6257806,59.168526,-4.2189145,66.16777,1.2339597,84.62895,-5.7795625,94.65968,Adhunik
Adhunik.00006.wav,661500,0.35688132,0.08993071,0.18108547,0.003175951,2926.248675892465,281994.1534850601,2479.5069191793696,103932.58838646322,5659.357445306453,1173805.993921345,0.15863849651702785,0.0023816050445556202,-9.53856e-07,0.019159766,-4.6699904e-05,0.00709978,117.45383522727273,-38.144245,2228.2407,57.603203,482.2352,-22.83807,368.52908,35.09589,275.17203,0.067743875,154.39667,7.203636,137.47076,-3.9876475,108.18976,2.5374775,78.055916,-2.92972,68.108215,0.031449687,75.4826,-4.3693204,78.84998,0.41271165,71.225365,-4.582529,75.901505,2.0988178,91.30097,-2.2781324,81.85216,2.8881776,82.992516,-3.1479988,91.177155,4.61652,83.512146,-1.7738196,69.67554,0.14005755,75.4067,Adhunik
Adhunik.00007.wav,661500,0.32886016,0.08984409,0.12900911,0.0019315548,2954.0225273384913,737300.7202660511,2756.113555130294,271912.9153395311,6113.204700954189,4008620.1659063143,0.15330746299342105,0.004530443330531364,5.6609297e-06,0.012310713,-7.4822536e-05,0.0028202122,129.19921875,-117.59189,4243.303,65.42781,620.4078,-6.2275724,500.60855,20.19514,388.91727,23.76278,592.7905,-1.0919948,332.04477,5.4901466,124.2173,3.674141,146.47974,-1.5968611,134.69823,9.599994,104.15985,-3.9866674,184.2946,3.6135478,123.89116,-3.137043,117.41255,0.27839825,173.3675,-2.6345603,192.78967,1.0520943,94.882935,-1.67463,108.93283,-1.2021962,135.21912,-1.7532876,159.8824,3.795401,124.30869,Adhunik
Adhunik.00008.wav,661500,0.28903347,0.09487907,0.081126064,0.0011071431,2465.6367724038073,628766.3665389254,2568.645214149221,238210.15832665193,5171.010398274236,3255694.92327238,0.10465318425890092,0.0020716905480751852,3.932681e-08,0.0046639373,-1.2924026e-07,0.0012679864,103.359375,-168.67194,3112.5466,82.21524,937.08826,-2.2448304,575.5549,10.815442,459.18488,-0.69624156,225.05708,-1.1458014,211.29703,3.038483,151.39696,3.746035,115.73039,-7.4606843,101.856255,-0.001390156,97.884254,-5.6280456,101.22372,-4.746619,121.646416,-8.799732,154.7835,1.3290993,177.74524,-4.6605124,209.98447,-3.2279143,189.6833,-0.04387228,155.57262,-0.34492734,175.89667,2.5793948,213.814,2.5924459,200.27132,Adhunik
Adhunik.00009.wav,661500,0.38108873,0.08358503,0.26606372,0.00789364,3362.401219502578,200369.28966520008,2230.8533349335576,39108.62651405088,5628.032634723298,625966.2741567139,0.24269770099651702,0.0019580054571541527,3.857228e-05,0.039005794,0.00028587496,0.018269299,95.703125,-21.038244,1519.0277,22.300545,495.284,-26.830242,210.3438,64.35382,234.52376,3.1119955,221.35664,1.6470033,85.49127,-1.9047759,108.07691,11.122105,85.98162,-9.939197,109.58986,3.8106127,104.76255,-4.8005943,97.19351,3.3556514,69.25506,-1.3307514,60.796314,0.9769261,72.658195,-4.5487905,60.224895,1.0803378,54.395657,-12.024049,65.315895,1.2974758,47.190983,-3.3926823,51.35109,-6.064782,81.42717,Adhunik
